bill,tip,smoker,day,time,size
32.54,12.42,No,Mon,Dinner,4
23.12,8.44,Yes,Sun,Lunch,6
4.44,6.95,No,Sat,Dinner,9
12.64,5.08,No,Tue,Lunch,3
39.57,4.87,Yes,Fri,Dinner,9
69.06,3.73,No,Sun,Lunch,2
68.28,4.48,No,Sun,Dinner,1
27.54,7.78,Yes,Sat,Lunch,8
68.97,9.43,No,Sat,Dinner,4
19.81,9.77,Yes,Sun,Lunch,6
40.9,6.76,Yes,Tue,Lunch,3
9.16,3.01,Yes,Sat,Lunch,4
11.98,12.34,Yes,Sat,Lunch,2
60.42,11.42,Yes,Thu,Lunch,8
37.33,5.66,Yes,Wed,Dinner,3
65.67,12.61,No,Sat,Lunch,2
59.45,7.49,No,Sat,Dinner,8
9.3,8.36,No,Fri,Lunch,4
22.03,6.19,Yes,Thu,Lunch,4
41.83,1.71,No,Sun,Lunch,8
37.88,3.44,Yes,Thu,Dinner,5
45.28,2.13,Yes,Sat,Dinner,9
21.44,9.57,No,Thu,Dinner,7
69.56,5.11,Yes,Sun,Lunch,3
63.99,10.68,No,Sat,Lunch,1
33.03,1.25,Yes,Sat,Lunch,9
51.88,3.59,No,Sat,Lunch,9
8.42,13.34,No,Sun,Lunch,6
55.87,5.49,Yes,Sat,Lunch,9
60.05,10.64,Yes,Sun,Dinner,6
4.63,13.23,Yes,Thu,Lunch,5
6.56,1.48,No,Sat,Dinner,6
64.21,6.08,No,Sat,Dinner,9
28.77,1.52,Yes,Tue,Dinner,9
53.82,7.31,No,Tue,Dinner,4
11.45,9.17,Yes,Sun,Lunch,9
24.0,7.52,Yes,Sat,Lunch,5
24.54,7.61,No,Sun,Dinner,9
67.5,7.56,No,Sun,Lunch,8
7.21,9.81,Yes,Thu,Lunch,6
30.11,10.48,No,Tue,Lunch,5
40.26,5.08,Yes,Sat,Dinner,6
12.57,1.44,No,Tue,Dinner,3
67.1,4.74,Yes,Tue,Lunch,7
57.92,8.08,Yes,Sun,Lunch,7
17.38,11.48,No,Thu,Dinner,1
34.41,5.94,Yes,Sat,Dinner,9
14.44,13.9,Yes,Sun,Dinner,4
17.78,7.18,Yes,Sun,Lunch,9
36.69,10.13,Yes,Tue,Lunch,7
59.54,1.12,No,Tue,Dinner,2
25.47,0.98,No,Sat,Dinner,5
53.02,3.0,No,Sat,Dinner,4
9.99,4.49,No,Sat,Dinner,7
16.73,7.64,No,Wed,Lunch,9
50.98,7.31,Yes,Thu,Dinner,6
21.41,5.67,Yes,Sun,Dinner,6
62.18,2.56,Yes,Sun,Lunch,8
18.71,1.08,No,Sun,Dinner,1
54.9,8.39,Yes,Sun,Dinner,2
7.47,8.02,Yes,Mon,Lunch,6
14.64,3.0,Yes,Fri,Lunch,7
55.36,2.66,No,Mon,Dinner,2
58.67,13.51,No,Mon,Lunch,7
36.11,11.62,Yes,Fri,Dinner,1
17.83,6.39,Yes,Sun,Lunch,9
42.14,8.66,No,Sun,Lunch,9
25.7,10.68,Yes,Sun,Lunch,6
65.78,2.0,Yes,Sun,Dinner,1
52.58,1.62,Yes,Tue,Dinner,2
27.3,7.64,Yes,Thu,Dinner,4
31.22,9.72,No,Wed,Lunch,9
39.22,9.24,Yes,Sun,Dinner,2
17.52,10.67,No,Thu,Dinner,3
35.79,12.92,Yes,Sat,Dinner,8
13.48,4.31,No,Tue,Lunch,1
54.81,11.48,Yes,Thu,Dinner,6
14.6,6.52,No,Sat,Lunch,1
35.92,13.14,Yes,Wed,Dinner,9
6.67,11.57,Yes,Thu,Dinner,4
22.65,8.44,No,Sat,Lunch,4
29.01,9.11,No,Fri,Dinner,2
20.63,2.54,Yes,Sat,Dinner,3
15.42,6.92,No,Tue,Lunch,8
12.62,3.64,Yes,Mon,Dinner,2
57.15,13.45,No,Wed,Lunch,5
27.08,8.96,Yes,Sat,Dinner,9
62.35,1.99,No,Tue,Dinner,6
41.37,9.01,No,Sun,Lunch,2
62.0,13.58,Yes,Thu,Dinner,8
59.3,4.63,Yes,Mon,Lunch,6
38.12,13.84,Yes,Sat,Dinner,9
9.1,7.03,No,Sat,Lunch,3
54.87,5.63,Yes,Sat,Dinner,9
36.42,11.14,Yes,Wed,Lunch,7
47.31,5.17,No,Sat,Lunch,7
9.57,9.11,No,Sun,Lunch,5
47.83,8.36,Yes,Thu,Dinner,1
35.77,11.38,Yes,Sun,Lunch,8
52.43,13.69,No,Thu,Lunch,4
13.83,5.41,No,Wed,Lunch,2
30.15,11.65,Yes,Thu,Lunch,9
20.6,13.44,Yes,Mon,Dinner,2
60.54,1.96,No,Sat,Dinner,6
36.87,9.86,No,Sun,Lunch,8
40.1,13.98,No,Sun,Lunch,5
15.36,3.09,Yes,Mon,Dinner,4
67.05,11.57,Yes,Wed,Dinner,3
30.28,1.19,Yes,Fri,Lunch,9
32.15,9.68,Yes,Sun,Dinner,5
67.3,10.44,No,Sat,Lunch,2
10.17,5.71,Yes,Sat,Lunch,3
62.66,4.63,Yes,Sun,Dinner,3
25.28,11.24,No,Sun,Dinner,9
23.79,4.8,Yes,Sat,Dinner,8
23.83,10.12,Yes,Sun,Dinner,4
17.51,0.82,Yes,Sun,Lunch,7
54.13,5.49,Yes,Fri,Dinner,2
64.98,2.84,No,Mon,Dinner,2
55.93,11.0,Yes,Sat,Lunch,7
35.67,11.44,Yes,Wed,Lunch,2
3.68,12.53,Yes,Sun,Lunch,3
68.89,6.99,Yes,Sun,Lunch,5
51.31,9.47,No,Sun,Lunch,6
47.5,11.62,Yes,Wed,Lunch,4
37.1,11.51,No,Sun,Lunch,2
8.36,9.01,No,Sat,Lunch,4
6.26,5.62,Yes,Mon,Dinner,9
47.07,11.23,No,Sat,Lunch,5
60.07,4.03,No,Sat,Dinner,7
32.22,8.82,Yes,Sat,Dinner,2
45.29,9.65,No,Sun,Lunch,9
58.68,13.25,No,Sun,Dinner,7
41.67,7.71,No,Wed,Dinner,8
49.65,7.57,No,Thu,Lunch,4
63.62,9.16,Yes,Tue,Lunch,6
12.16,6.6,No,Sun,Lunch,8
67.65,1.55,No,Sun,Lunch,6
51.3,9.07,Yes,Sat,Lunch,9
67.43,12.48,No,Fri,Lunch,5
4.5,10.24,No,Thu,Lunch,1
13.53,10.13,Yes,Sun,Dinner,6
14.08,3.59,No,Mon,Dinner,3
49.04,10.66,No,Sat,Dinner,1
22.94,7.69,Yes,Sun,Lunch,6
23.11,9.69,Yes,Sun,Dinner,3
45.0,8.23,No,Fri,Dinner,4
63.88,9.13,No,Sat,Dinner,4
35.35,2.5,No,Thu,Dinner,6
13.65,5.92,Yes,Thu,Dinner,6
13.09,3.38,Yes,Sat,Lunch,9
31.62,1.21,No,Wed,Dinner,4
3.96,8.98,Yes,Fri,Dinner,1
68.27,6.57,Yes,Mon,Dinner,5
13.03,1.64,No,Sun,Dinner,5
63.38,11.97,No,Sat,Dinner,7
25.44,4.42,Yes,Sun,Dinner,6
65.72,11.03,Yes,Thu,Lunch,8
15.35,2.47,No,Sat,Dinner,9
9.28,11.31,No,Sat,Lunch,5
67.0,7.87,Yes,Sat,Dinner,1
58.91,4.31,No,Sat,Lunch,2
52.36,9.52,No,Sun,Lunch,6
7.08,4.66,Yes,Fri,Lunch,3
15.95,8.21,Yes,Sun,Dinner,4
18.74,11.84,Yes,Sun,Lunch,5
20.94,7.83,No,Mon,Dinner,5
43.82,8.1,Yes,Fri,Lunch,9
14.93,10.6,Yes,Sat,Dinner,8
68.7,6.93,No,Sun,Lunch,3
53.99,8.74,Yes,Sun,Lunch,4
8.1,6.36,No,Thu,Lunch,4
41.77,13.22,Yes,Sun,Lunch,1
51.29,13.78,Yes,Sun,Lunch,3
5.49,12.04,No,Wed,Dinner,2
30.73,1.17,Yes,Wed,Lunch,6
63.59,12.84,Yes,Thu,Dinner,9
13.63,3.91,Yes,Fri,Dinner,9
35.26,10.65,No,Tue,Dinner,5
36.67,8.05,Yes,Sun,Dinner,1
49.74,3.93,Yes,Sat,Dinner,4
27.87,12.72,Yes,Thu,Dinner,1
19.15,5.26,Yes,Mon,Dinner,8
55.6,1.67,Yes,Fri,Lunch,4
59.47,7.8,No,Mon,Lunch,4
14.49,4.19,No,Mon,Lunch,2
25.77,13.47,Yes,Sun,Lunch,3
61.1,5.87,Yes,Sat,Lunch,4
63.74,1.59,Yes,Sat,Lunch,7
58.66,2.48,Yes,Thu,Dinner,4
58.8,12.23,Yes,Mon,Dinner,2
27.65,13.46,Yes,Sat,Dinner,9
64.78,9.99,No,Tue,Lunch,6
20.89,9.88,Yes,Tue,Lunch,6
29.66,3.3,Yes,Sun,Lunch,6
11.3,3.42,Yes,Thu,Lunch,9
20.58,1.8,No,Wed,Lunch,3
61.98,13.85,No,Tue,Dinner,2
51.19,2.79,No,Sat,Lunch,1
58.42,3.19,No,Sun,Lunch,9
50.86,1.86,No,Wed,Lunch,1
24.69,8.19,No,Thu,Lunch,2
31.89,8.38,No,Sun,Dinner,8
47.38,3.61,No,Sun,Dinner,2
68.93,7.81,Yes,Sat,Dinner,9
15.3,7.96,No,Sun,Lunch,5
44.87,3.4,No,Sat,Lunch,6
4.78,6.36,No,Sat,Dinner,3
21.48,11.26,Yes,Mon,Dinner,1
9.45,2.05,Yes,Sat,Dinner,6
5.92,9.44,Yes,Sat,Lunch,9
15.54,3.47,No,Wed,Lunch,7
18.42,9.25,No,Sat,Dinner,8
51.36,8.56,No,Sun,Dinner,5
28.73,13.31,No,Sun,Lunch,5
50.71,9.31,Yes,Sat,Lunch,5
33.77,5.91,Yes,Sat,Lunch,4
33.1,5.45,Yes,Mon,Dinner,1
52.74,13.21,No,Mon,Lunch,9
41.96,9.43,Yes,Sat,Dinner,4
40.28,7.91,No,Sat,Lunch,8
38.07,12.52,No,Sun,Dinner,5
55.49,1.54,No,Sun,Lunch,9
19.01,9.56,No,Sun,Dinner,2
65.2,12.61,No,Sun,Lunch,4
66.08,8.74,Yes,Fri,Lunch,4
31.7,4.63,Yes,Tue,Dinner,6
44.19,2.74,No,Fri,Lunch,4
43.89,5.75,No,Sat,Dinner,8
18.01,12.1,Yes,Sun,Dinner,8
65.5,6.83,Yes,Tue,Dinner,2
5.94,5.54,No,Sat,Dinner,6
11.4,7.13,No,Sun,Lunch,3
67.82,12.28,Yes,Tue,Lunch,3
67.43,8.7,Yes,Mon,Lunch,3
66.59,12.11,Yes,Sun,Lunch,3
61.56,10.83,Yes,Sun,Dinner,9
21.47,7.3,Yes,Sun,Dinner,9
65.3,11.0,No,Tue,Lunch,5
38.56,13.77,Yes,Fri,Lunch,3
14.92,9.9,Yes,Fri,Lunch,7
51.57,10.56,No,Sun,Lunch,9
46.14,12.0,No,Sat,Dinner,9
52.96,4.3,No,Sat,Dinner,8
27.97,4.07,Yes,Sun,Lunch,7
9.65,11.59,Yes,Tue,Dinner,1
9.44,13.1,No,Sun,Dinner,2
47.07,12.04,No,Wed,Dinner,8
38.5,2.2,Yes,Sun,Lunch,6
65.1,11.8,No,Sun,Lunch,1
23.83,4.36,No,Sat,Dinner,6
45.03,4.84,Yes,Sat,Lunch,4
13.0,5.45,No,Wed,Dinner,9
9.37,12.65,Yes,Tue,Lunch,4
65.37,13.62,Yes,Sat,Dinner,2
59.61,2.22,No,Tue,Lunch,1
38.63,13.37,Yes,Sat,Lunch,4
63.49,6.53,No,Sat,Dinner,3
22.13,9.71,No,Tue,Lunch,2
30.95,6.69,Yes,Fri,Dinner,7
54.78,13.63,Yes,Mon,Dinner,7
17.66,1.24,No,Wed,Dinner,4
28.39,10.15,Yes,Sun,Lunch,2
39.65,4.48,Yes,Fri,Dinner,9
31.35,5.65,Yes,Sat,Dinner,1
54.63,11.44,No,Tue,Dinner,3
10.33,9.79,Yes,Sat,Lunch,7
38.96,8.83,Yes,Fri,Lunch,7
51.76,1.96,No,Sun,Dinner,7
54.67,5.98,No,Sun,Dinner,4
58.3,10.15,Yes,Sun,Lunch,4
32.5,13.99,Yes,Wed,Dinner,7
8.6,9.64,Yes,Thu,Dinner,1
33.7,12.07,No,Sat,Lunch,9
27.69,8.13,No,Fri,Lunch,2
19.55,11.84,No,Mon,Lunch,1
39.59,12.13,No,Sun,Dinner,5
61.32,9.59,No,Sun,Dinner,5
61.67,8.69,Yes,Sun,Dinner,9
3.23,10.27,Yes,Tue,Dinner,8
24.4,1.68,Yes,Sat,Dinner,8
3.74,10.45,No,Sun,Lunch,3
42.32,10.23,No,Sat,Lunch,7
46.62,11.2,Yes,Sun,Dinner,7
33.83,7.83,No,Sat,Dinner,5
28.77,12.79,Yes,Sun,Lunch,1
55.44,6.25,No,Sat,Dinner,7
52.72,13.58,Yes,Tue,Lunch,2
68.22,10.29,Yes,Sat,Dinner,7
19.46,4.79,No,Sat,Lunch,9
38.47,9.69,Yes,Sun,Dinner,4
31.34,1.58,No,Sun,Dinner,3
23.46,9.48,No,Tue,Dinner,9
25.97,9.66,Yes,Mon,Lunch,2
11.69,7.65,No,Sun,Dinner,3
47.75,12.04,No,Mon,Dinner,5
21.63,1.74,No,Sun,Lunch,7
48.96,10.43,No,Fri,Dinner,5
13.29,6.12,No,Sun,Lunch,5
10.91,9.0,No,Sun,Lunch,3
8.92,1.83,No,Mon,Dinner,2
31.43,6.54,No,Wed,Lunch,4
7.98,3.91,Yes,Sun,Lunch,4
64.46,11.68,Yes,Tue,Dinner,5
35.67,2.89,Yes,Mon,Lunch,2
63.32,7.82,Yes,Tue,Dinner,3
41.14,4.01,Yes,Sat,Dinner,7
21.97,13.52,No,Sat,Lunch,4
29.31,12.3,No,Sat,Lunch,8
50.62,13.35,Yes,Sun,Dinner,6
40.65,6.67,No,Sat,Lunch,4
5.44,6.54,Yes,Sat,Dinner,5
25.95,7.77,Yes,Sat,Lunch,9
35.2,2.09,No,Sun,Lunch,5
59.85,7.38,Yes,Tue,Dinner,8
28.68,2.0,Yes,Sun,Lunch,1
37.69,5.21,Yes,Sat,Dinner,7
10.18,3.28,No,Sun,Dinner,9
27.44,1.62,Yes,Sat,Lunch,9
66.85,7.9,No,Fri,Lunch,9
6.01,5.64,Yes,Sun,Dinner,7
68.83,1.34,Yes,Sat,Lunch,6
19.68,11.95,No,Sun,Dinner,1
59.53,3.33,No,Sun,Dinner,3
23.01,1.35,Yes,Sat,Lunch,4
4.87,2.2,No,Fri,Lunch,5
58.45,10.59,Yes,Fri,Lunch,8
60.91,2.35,Yes,Tue,Lunch,2
50.53,6.44,No,Wed,Dinner,1
14.65,9.91,Yes,Fri,Lunch,1
66.34,10.98,No,Sat,Lunch,9
30.76,13.76,Yes,Sat,Lunch,7
46.68,5.45,No,Sun,Lunch,5
52.38,13.54,No,Sun,Dinner,7
51.3,12.18,No,Thu,Lunch,6
57.98,12.77,No,Sun,Lunch,9
4.57,11.44,No,Wed,Lunch,9
32.12,11.69,Yes,Sun,Dinner,2
16.58,2.65,No,Sun,Dinner,7
56.54,5.07,No,Sun,Lunch,5
55.72,13.72,Yes,Sat,Dinner,7
9.39,5.28,Yes,Sun,Dinner,6
46.93,10.84,No,Sun,Dinner,7
14.68,9.95,Yes,Sat,Dinner,9
21.25,8.65,Yes,Thu,Lunch,6
51.92,3.37,Yes,Mon,Lunch,7
16.87,12.95,Yes,Wed,Lunch,5
30.31,9.75,No,Tue,Dinner,6
30.24,9.97,No,Fri,Dinner,3
10.75,7.51,Yes,Sun,Lunch,9
9.86,10.31,No,Sun,Lunch,4
37.9,5.38,No,Thu,Dinner,5
25.36,2.35,No,Sat,Lunch,3
18.22,8.3,No,Sun,Lunch,1
68.96,11.64,Yes,Sun,Dinner,8
59.2,12.13,No,Sat,Lunch,1
59.09,10.47,No,Sat,Dinner,8
47.77,1.8,No,Mon,Dinner,4
48.36,0.96,Yes,Sun,Dinner,5
39.26,7.05,Yes,Sun,Dinner,7
42.88,4.97,No,Tue,Lunch,8
24.61,7.29,No,Mon,Dinner,7
25.32,5.11,Yes,Sun,Dinner,9
53.39,4.74,No,Sun,Lunch,8
45.37,6.91,No,Thu,Lunch,8
